id,text,question,answers
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/17150/1018121/9,"violation definition: The definition of a violation is a breach of a law or of a code of behavior. (noun) When you drive your car faster than the speed limit, this is an example of a violation of the law. When you read someone's diary this is an examp...",define criminal violation,"[{'text': 'The definition of a violation is a breach of a law or of a code of behavior.', 'start': 22, 'end': 98}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/83110/941007/7,"A sea of cheering, rainbow flag-waving people filled the sidewalk in front of the Supreme Court to celebrate the decision. June 26, 2015 Gay rights supporters celebrate outside the Supreme Court in Washington after justices ruled that same-sex couples have the right to marry, no matter where they live. Jim Bourg/Reuters. Wait 1 second to continue.",when did supreme court approve same sex marriage,"[{'text': 'June 26, 2015', 'start': 123, 'end': 136}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/2730/5a81346055429926c1cdad13,"H. William DeWeese (born April 18, 1950) is an American politician who is a former member of the Pennsylvania House of Representatives. A member of the Democratic Party, DeWeese served as the 135th Speaker of the Pennsylvania House from 1993-94. After five years of investigation by Republican State Attorney General Tom Corbett, he was indicted in December 2009 on six charges of conflict of interest, theft and criminal conspiracy on accusations that two members of his staff used state resources to campaign for political office. The trial began January 23, 2010. He was re-elected in 2010 despite the charges, but was convicted of five of the six felony charges on February 6, 2012.

Warren Steed Jeffs (born December 4, 1955) is the President of the Fundamentalist Church of Jesus Christ of Latter-Day Saints (FLDS Church) and a convicted felon currently serving a sentence of life plus 20 years. His prison term is the result of being convicted in 2011 of two felony counts of child sexual assault.

Seth Jeffs is known for being a high-ranking official in the Fundamentalist Church of Jesus Christ of Latter Day Saints and for harboring his brother Warren Jeffs during the federal manhunt to arrest him.","What organization is known for having a president who was convicted of felony charges that was harbored by his brother, another high ranking member?","[{'text': 'FLDS Church', 'start': 815, 'end': 826}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3053/5726926a5951b619008f770a,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",The censuring of the Santer Commission  resulted in which main case?,"[{'text': 'Commission v Edith Cresson', 'start': 403, 'end': 429}]"
isaacus--legalqaeval/google--natural-questions/nq.test/3894/-5865488394973166778,"panies advertised frequently on television programs. To combat this move by the cigarette companies, the Federal Communications Commission required television stations to air anti-smoking advertisements at no cost to the organizations providing such advertisements. In 1970, Congress took their anti-smoking initiative one step further and passed the Public Health Cigarette Smoking Act, banning the advertising of cigarettes on television and radio starting on January 2, 1971. After the television ban, most cigarette advertising took place in magazines, newspapers, and on billboards. However, in 1999 all cigarette billboard advertisements were replaced with anti-smoking messages, with some of these anti-smoking messages playing parodies of cigarette companies advertising figures and slogans. Since 1984, cigarette companies have also been forced to place Surgeon's General warnings on all cigarette packs and advertisements because of the passing of the Federal Cigarette Labeling and Advertising Act. Restrictions on cigarette companies became even tighter in 2010 with the Family Smoking Prevention and Tobacco Control Act. The act prohibits tobacco companies from sponsoring sports, music, and other cultural events and also prevents the display of their logos or products on T-shirts, hats, or other apparel. The constitutionality of both this act and the Food and Drug Administration's new graphic cigarette warning labels are being questioned under cigarette companies' first amendment rights.",when did they stop cigarette advertising on television,"[{'text': 'January 2, 1971', 'start': 462, 'end': 477}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/7279/5ab9b1fd5542996be202058e,"Caleb Stegall (born September 20, 1971) is an American attorney and writer residing in Perry, Kansas. He has served as the District attorney for Jefferson County, Kansas and Chief Counsel to Kansas Governor Sam Brownback before being appointed to the Kansas Court of Appeals. On August 29, 2014, Stegall was appointed by Kansas Governor Sam Brownback to the Kansas Supreme Court, replacing Nancy Moritz, who was appointed by President Barack Obama to the 10th Circuit Court of Appeals. He is a proponent of traditionalist conservatism.

Jefferson County (county code JF) is a county located in the U.S. state of Kansas. At the 2010 census, the county population was 19,126. Its county seat is Oskaloosa, and its most populous city is Valley Falls.

The Kings County District Attorney is the elected district attorney for Kings County, coterminous with the Borough of Brooklyn, in New York City. The office is responsible for the prosecution of violations of the Laws of New York. (Violations of federal law are prosecuted by the United States Attorney for the Eastern District of New York). The current district attorney is Acting District Attorney Eric Gonzalez.",What is the most populous city in the county where Caleb Stegall served as District attorney?,"[{'text': 'Valley Falls', 'start': 734, 'end': 746}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/4359/5a7750a155429966f1a36cef,"Hidesaburō Ueno (上野 英三郎 , Ueno Hidesaburō , January 19, 1872 – May 21, 1925) , sometimes written as ""Ueno Hidesamurō"" was an agricultural scientist, famous in Japan as the guardian of Hachikō, a devoted dog.

Hachikō (ハチ公 , November 10, 1923 – March 8, 1935) was an Akita dog born on a farm near the city of Ōdate, Akita Prefecture, Japan. He is remembered for his remarkable loyalty to his owner, for whom he continued to wait for over nine years following his death. Hachikō is known in Japanese as chūken Hachikō (忠犬ハチ公) ""faithful dog Hachikō"", ""hachi"" meaning ""eight"" and ""kō"" meaning ""affection."" During his lifetime, the dog was held up in Japanese culture as an example of loyalty and fidelity. Well after his death, he continues to be remembered in worldwide popular culture, with statues, movies, books, and appearances in various media.

Harshad Mehta was an Indian stockbroker, well known for his wealth and for having been charged with numerous financial crimes that took place in 1992. Of the 27 criminal charges brought against him, he was only convicted of four, before his death at age 47 in 2001. It was alleged that Mehta engaged in a massive stock manipulation scheme financed by worthless bank receipts, which his firm brokered in ""ready forward"" transactions between banks. Mehta was convicted by the Bombay High Court and Supreme Court of India for his part in a financial scandal valued at 4999 Crores which took place on the Bombay Stock Exchange (BSE). The scandal exposed the loopholes in the Indian banking system, Bombay Stock Exchange (BSE) transaction system and SEBI further introduced new rules to cover those loopholes. He was tried for 9 years, until he died in late 2001.",Who died and had his dog wait in Japan for him for 9 years after his death?,"[{'text': 'Hidesaburō Ueno', 'start': 0, 'end': 15}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/7337/1083316/6,"Best Answer: A bench warrant is one that is usually issued by a sitting judge or magistrate for a person who has missed a court appearance. These are arrest on sight warrants and the subject of these warrants are usually considered flight risks. An open warrant is an arrest warrant that has been issued and not yet returned to the court. In other words, the subject of the warrant has not yet been arrested.",what does open warrant mean,"[{'text': 'An open warrant is an arrest warrant that has been issued and not yet returned to the court.', 'start': 246, 'end': 338}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/1305/5adcc9f35542990d50227d20,"Montejo v. Louisiana, 556 U.S. 778 (2009), is a 5–4 decision by the United States Supreme Court that overruled the Court's decision in ""Michigan v. Jackson"", 475 U.S. 625 (1986) . The case concerned the validity of a defendant's waiver of his right to counsel during a police interrogation. In reversing ""Jackson"", the Court said such a waiver was valid.

Brewer v. Williams, 430 U.S. 387 (1977) , is a decision by the United States Supreme Court that clarifies what constitutes ""waiver"" of the right to counsel for the purposes of the Sixth Amendment. Under ""Miranda v. Arizona"", evidence obtained by police during interrogation of a suspect before he has been read his Miranda rights is inadmissible. Here, however, the defendant had been indicted in court, and thus his Sixth Amendment right to counsel had automatically attached. At issue was whether a voluntary admission of incriminating facts in response to police statements constituted a waiver of this right to counsel.

Planned Parenthood v. Casey, 505 U.S. 833 (1992) , was a landmark United States Supreme Court case in which the constitutionality of several Pennsylvania state statutory provisions regarding abortion was challenged. The Court's plurality opinion reaffirmed the central holding of ""Roe v. Wade"" stating that ""matters, involving the most intimate and personal choices a person may make in a lifetime, choices central to personal dignity and autonomy, are central to the liberty protected by the Fourteenth Amendment."" The Court's plurality opinion upheld the constitutional right to have an abortion while altering the standard for analyzing restrictions on that right, crafting the ""undue burden"" standard for abortion restrictions. ""Planned Parenthood v. Casey"" differs from ""Roe,"" however, because under ""Roe"" the state could not regulate abortions in the first trimester whereas under ""Planned Parenthood v. Casey"" the state can regulate abortions in the first trimester, or any point before the point of viability, and beyond as long as that regulation does not pose an undue burden on women's fundamental right to an abortion. Applying this new standard of review, the Court upheld four regulations and invalidated the requirement of spousal notification.",Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,"[{'text': 'Montejo v. Louisiana', 'start': 0, 'end': 20}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/6296/1084442/1,"Municipal Court. The Del City Municipal Court is committed to providing a positive service to our citizens. The Court handles violations of city ordinances, including parking, traffic, criminal, and environmental. The Court handles all violations of city ordinances for anyone under the age of 18.",what does a municipal court cover in a city,"[{'text': 'The Del City Municipal Court is committed to providing a positive service to our citizens.', 'start': 17, 'end': 107}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/64828/1094354/0,"Freebase (0.00 / 0 votes) Rate this definition: Interlineation Interlineation is a legal term that signifies a sentence that is newly inserted between previous sentences in a contract both parties had agreed upon previously. Interlineations help clarify specific points of a legal contract, and are useful if some of the terms of a contract become unclear later.",interlineated meaning,"[{'text': 'Interlineation is a legal term that signifies a sentence that is newly inserted between previous sentences in a contract both parties had agreed upon previously.', 'start': 63, 'end': 224}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3054/5726926a5951b619008f770b,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",Who found that a culture had developed where few Commissioners had any sense of responsibility?,"[{'text': 'a Committee of Independent Experts', 'start': 629, 'end': 663}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/12355/1047715/9,"Why real estate mobbing is a good reason to make renters a protected class. Real estate mobbing is an organized crime in which a legal resident is chased out of his or her legal home by criminal real estate speculators who want the property. In a cops-and-robbers' wet dream, the harassers stalk, monitor, and harass their ""target"" using methods of surveillance and harassment.",what is property mobbing,"[{'text': 'Real estate mobbing is an organized crime in which a legal resident is chased out of his or her legal home by criminal real estate speculators who want the property.', 'start': 76, 'end': 241}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/66398/556600/5,A citation is issued by a police officer upon the commission of a crime or the instant at which a person must be summoned to court for a legal matter. Citations are issued in lieu of a warrant and allows an individual to appear in court of their own volition. A citation functions the same way as a summons.,what are citation,"[{'text': 'Citations are issued in lieu of a warrant and allows an individual to appear in court of their own volition. A citation functions the same way as a summons.', 'start': 151, 'end': 307}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5760/5728fc9e1d04691400778f15,"Courts have distinguished between two types of civil disobedience: ""Indirect civil disobedience involves violating a law which is not, itself, the object of protest, whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law."" During the Vietnam War, courts typically refused to excuse the perpetrators of illegal protests from punishment on the basis of their challenging the legality of the Vietnam War; the courts ruled it was a political question. The necessity defense has sometimes been used as a shadow defense by civil disobedients to deny guilt without denouncing their politically motivated acts, and to present their political beliefs in the courtroom. However, court cases such as U.S. v. Schoon have greatly curtailed the availability of the political necessity defense. Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence.""",Why are people who distribute leaflets inside courthouses not been arrested?,"[{'text': ""if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence"", 'start': 1330, 'end': 1451}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5697/5728ec6a4b864d19001650aa,"When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest. At a pre-arranged announced time, one at a time they stepped across the ""line"" and were immediately arrested. They were put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace, that afternoon. A well known civil rights attorney, Francis Heisler, had volunteered to defend the arrested persons, advising them to plead ""nolo contendere"", as an alternative to pleading either guilty or not-guilty. The arrested persons were found ""guilty,"" nevertheless, and given suspended sentences, conditional on their not reentering the test site grounds.[citation needed]",Where in Las Vegas did a famous protest take place?,"[{'text': 'Camp Mercury nuclear test site', 'start': 85, 'end': 115}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5701/5728ec6a4b864d19001650ae,"When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest. At a pre-arranged announced time, one at a time they stepped across the ""line"" and were immediately arrested. They were put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace, that afternoon. A well known civil rights attorney, Francis Heisler, had volunteered to defend the arrested persons, advising them to plead ""nolo contendere"", as an alternative to pleading either guilty or not-guilty. The arrested persons were found ""guilty,"" nevertheless, and given suspended sentences, conditional on their not reentering the test site grounds.[citation needed]",What type of sentences were the protesters given?,"[{'text': 'suspended sentences', 'start': 759, 'end': 778}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5767/5728fd3c3f37b31900477f2d,"Along with giving the offender his ""just deserts"", achieving crime control via incapacitation and deterrence is a major goal of criminal punishment. Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law's engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."" Leonard Hubert Hoffmann writes, ""In deciding whether or not to impose punishment, the most important consideration would be whether it would do more harm than good. This means that the objector has no right not to be punished. It is a matter for the state (including the judges) to decide on utilitarian grounds whether to do so or not.""",What should be the main goal of not using punishment in a just system?,"[{'text': 'it focuses attention on the threat of punishment and not the moral reasons to follow this law', 'start': 322, 'end': 415}, {'text': 'whether it would do more harm than good.', 'start': 542, 'end': 582}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5756/5728fc9e1d04691400778f11,"Courts have distinguished between two types of civil disobedience: ""Indirect civil disobedience involves violating a law which is not, itself, the object of protest, whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law."" During the Vietnam War, courts typically refused to excuse the perpetrators of illegal protests from punishment on the basis of their challenging the legality of the Vietnam War; the courts ruled it was a political question. The necessity defense has sometimes been used as a shadow defense by civil disobedients to deny guilt without denouncing their politically motivated acts, and to present their political beliefs in the courtroom. However, court cases such as U.S. v. Schoon have greatly curtailed the availability of the political necessity defense. Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence.""",What is violating a law which is not the goal of the protest called?,"[{'text': 'Indirect civil disobedience', 'start': 68, 'end': 95}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/39252/640597/0,"A person convicted in a court of law of a felony crime is known as a felon or convict. In the United States, where the felony/misdemeanor distinction is still widely applied, the federal government defines a felony as a crime punishable by death or imprisonment in excess of one year.If punishable by exactly one year or less, it is classified as a misdemeanor. felony is generally considered a crime of high seriousness, while a misdemeanor is not.",what does it mean to be convicted of a felon,"[{'text': 'If punishable by exactly one year or less, it is classified as a misdemeanor. felony is generally considered a crime of high seriousness, while a misdemeanor is not.', 'start': 284, 'end': 449}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/13474/1100025/1,"A heckler's veto is an impermissible content-based restriction on speech where the speech is prohibited due to an anticipated disorderly or violent reaction of the audience. Similarly, in Hedges, Justice Easterbrook: The police are supposed to preserve order, which unpopular speech may endanger.",heckler's veto definition,"[{'text': ""A heckler's veto is an impermissible content-based restriction on speech where the speech is prohibited due to an anticipated disorderly or violent reaction of the audience."", 'start': 0, 'end': 173}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3293/5726ba2c708984140094cf59,"In contrast to product requirements or other laws that hinder market access, the Court of Justice developed a presumption that ""selling arrangements"" would be presumed to not fall into TFEU article 34, if they applied equally to all sellers, and affected them in the same manner in fact. In Keck and Mithouard two importers claimed that their prosecution under a French competition law, which prevented them selling Picon beer under wholesale price, was unlawful. The aim of the law was to prevent cut throat competition, not to hinder trade. The Court of Justice held, as ""in law and in fact"" it was an equally applicable ""selling arrangement"" (not something that alters a product's content) it was outside the scope of article 34, and so did not need to be justified. Selling arrangements can be held to have an unequal effect ""in fact"" particularly where traders from another member state are seeking to break into the market, but there are restrictions on advertising and marketing. In Konsumentombudsmannen v De Agostini the Court of Justice reviewed Swedish bans on advertising to children under age 12, and misleading commercials for skin care products. While the bans have remained (justifiable under article 36 or as a mandatory requirement) the Court emphasised that complete marketing bans could be disproportionate if advertising were ""the only effective form of promotion enabling [a trader] to penetrate"" the market. In Konsumentombudsmannen v Gourmet AB the Court suggested that a total ban for advertising alcohol on the radio, TV and in magazines could fall within article 34 where advertising was the only way for sellers to overcome consumers' ""traditional social practices and to local habits and customs"" to buy their products, but again the national courts would decide whether it was justified under article 36 to protect public health. Under the Unfair Commercial Practices Directive, the EU harmonised restrictions on restrictions on marketing and advertising, to forbid conduct that distorts average consumer behaviour, is misleading or aggressive, and sets out a list of examples that count as unfair. Increasingly, states have to give mutual recognition to each other's standards of regulation, while the EU has attempted to harmonise minimum ideals of best practice. The attempt to raise standards is hoped to avoid a regulatory ""race to the bottom"", while allowing consumers access to goods from around the continent.","Which two importers claimed that under a French competition law, they were prevented from selling Picon beer under wholesale price?","[{'text': 'Keck and Mithouard', 'start': 291, 'end': 309}]"
